appid,discount,initial_price,price
5323,0,0,"0,00"
5325,0,0,"0,00"
5326,0,0,"0,00"
5327,0,0,"0,00"
5330,0,0,"0,00"
5332,0,0,"0,00"
5328,0,0,"0,00"
5333,0,0,"0,00"
5334,0,0,"0,00"
5337,0,0,"0,00"
5331,0,0,"0,00"
5329,0,0,"0,00"
5341,0,0,"0,00"
5340,0,0,"0,00"
5335,0,0,"0,00"
5338,0,0,"0,00"
5339,0,0,"0,00"
5344,0,0,"0,00"
5342,0,0,"0,00"
5343,0,0,"0,00"
5347,0,0,"0,00"
5345,0,0,"0,00"
5348,0,0,"0,00"
5346,0,0,"0,00"
5349,0,0,"0,00"
5353,0,0,"0,00"
5361,0,0,"0,00"
5350,0,0,"0,00"
5351,0,0,"0,00"
5362,0,0,"0,00"
5366,0,0,"0,00"
5365,0,0,"0,00"
5363,0,0,"0,00"
5360,0,0,"0,00"
5367,0,0,"0,00"
5368,0,0,"0,00"
5364,0,0,"0,00"
5372,0,0,"0,00"
5375,0,0,"0,00"
5369,0,0,"0,00"
5374,0,0,"0,00"
5370,0,0,"0,00"
5376,0,0,"0,00"
5371,0,0,"0,00"
5377,0,0,"0,00"
5386,0,0,"0,00"
5389,0,0,"0,00"
5388,0,0,"0,00"
5378,0,0,"0,00"
5390,0,0,"0,00"
5387,0,0,"0,00"
5379,0,0,"0,00"
5394,0,0,"0,00"
5395,0,0,"0,00"
5391,0,0,"0,00"
5396,0,0,"0,00"
5392,0,0,"0,00"
5398,0,0,"0,00"
5402,0,0,"0,00"
5399,0,0,"0,00"
5401,0,0,"0,00"
5397,0,0,"0,00"
5404,0,0,"0,00"
5400,0,0,"0,00"
5405,0,0,"0,00"
5406,0,0,"0,00"
5409,0,0,"0,00"
5410,0,0,"0,00"
5414,0,0,"0,00"
5411,0,0,"0,00"
5416,0,0,"0,00"
5415,0,0,"0,00"
5418,0,0,"0,00"
5422,0,0,"0,00"
5424,0,0,"0,00"
5420,0,0,"0,00"
5419,0,0,"0,00"
5426,0,0,"0,00"
5434,0,0,"0,00"
5428,0,0,"0,00"
5430,0,0,"0,00"
5433,0,0,"0,00"
5435,0,0,"0,00"
5427,0,0,"0,00"
5445,0,0,"0,00"
5449,0,0,"0,00"
5450,0,0,"0,00"
5447,0,0,"0,00"
5453,0,0,"0,00"
5446,0,0,"0,00"
5451,0,0,"0,00"
5455,0,0,"0,00"
5456,0,0,"0,00"
5457,0,0,"0,00"
5460,0,0,"0,00"
5461,0,0,"0,00"
5462,0,0,"0,00"
5459,0,0,"0,00"
5465,0,0,"0,00"
5467,0,0,"0,00"
5470,0,0,"0,00"
5464,0,0,"0,00"
5463,0,0,"0,00"
5468,0,0,"0,00"
5471,0,0,"0,00"
5476,0,0,"0,00"
5473,0,0,"0,00"
5475,0,0,"0,00"
5474,0,0,"0,00"
5472,0,0,"0,00"
5478,0,0,"0,00"
5477,0,0,"0,00"
5479,0,0,"0,00"
5481,0,0,"0,00"
5483,0,0,"0,00"
5480,0,0,"0,00"
5486,0,0,"0,00"
5484,0,0,"0,00"
5487,0,0,"0,00"
5488,0,0,"0,00"
5489,0,0,"0,00"
5492,0,0,"0,00"
5495,0,0,"0,00"
5494,0,0,"0,00"
5496,0,0,"0,00"
5501,0,0,"0,00"
5497,0,0,"0,00"
