2025-08-14 01:38:58 | Process-4 | INFO | App 1932110: collected 4 reviews.
2025-08-14 01:38:58 | Process-4 | INFO | App 1932100: collected 26 reviews.
2025-08-14 01:38:59 | Process-4 | INFO | App 1932250: collected 0 reviews.
2025-08-14 01:38:59 | Process-4 | INFO | App 1932130: collected 5 reviews.
2025-08-14 01:38:59 | Process-4 | INFO | App 1932270: collected 0 reviews.
2025-08-14 01:38:59 | Process-4 | INFO | App 1932220: collected 2 reviews.
2025-08-14 01:38:59 | Process-4 | INFO | App 1932180: collected 33 reviews.
2025-08-14 01:38:59 | Process-4 | INFO | App 1932230: collected 100 reviews.
2025-08-14 01:38:59 | Process-4 | INFO | App 1932290: collected 0 reviews.
2025-08-14 01:38:59 | Process-4 | INFO | App 1932300: collected 0 reviews.
2025-08-14 01:38:59 | Process-4 | INFO | App 1932210: collected 100 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932160: collected 100 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932340: collected 0 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932380: collected 0 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932370: collected 0 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932280: collected 69 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932420: collected 0 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932350: collected 24 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932330: collected 25 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932440: collected 0 reviews.
2025-08-14 01:39:00 | Process-4 | INFO | App 1932260: collected 100 reviews.
2025-08-14 01:39:01 | Process-4 | INFO | App 1932360: collected 61 reviews.
2025-08-14 01:39:01 | Process-4 | INFO | App 1932430: collected 2 reviews.
2025-08-14 01:39:01 | Process-4 | INFO | App 1932410: collected 5 reviews.
2025-08-14 01:39:01 | Process-4 | INFO | App 1932510: collected 0 reviews.
2025-08-14 01:39:01 | Process-4 | INFO | App 1930580: collected 100 reviews.
2025-08-14 01:39:01 | Process-4 | INFO | App 1932520: collected 0 reviews.
2025-08-14 01:39:01 | Process-4 | INFO | App 1932560: collected 0 reviews.
2025-08-14 01:39:01 | Process-4 | INFO | App 1932460: collected 60 reviews.
2025-08-14 01:39:02 | Process-4 | INFO | App 1932470: collected 10 reviews.
2025-08-14 01:39:02 | Process-4 | INFO | App 1932620: collected 0 reviews.
2025-08-14 01:39:02 | Process-4 | INFO | App 1932490: collected 12 reviews.
2025-08-14 01:39:02 | Process-4 | INFO | App 1932500: collected 16 reviews.
2025-08-14 01:39:02 | Process-4 | INFO | App 1932480: collected 9 reviews.
2025-08-14 01:39:02 | Process-4 | INFO | App 1932590: collected 48 reviews.
2025-08-14 01:39:02 | Process-4 | INFO | App 1930120: collected 4 reviews.
2025-08-14 01:39:02 | Process-4 | INFO | App 1932720: collected 0 reviews.
2025-08-14 01:39:03 | Process-4 | INFO | App 1932570: collected 100 reviews.
2025-08-14 01:39:03 | Process-4 | INFO | App 1932600: collected 1 reviews.
2025-08-14 01:39:03 | Process-4 | INFO | App 1932640: collected 100 reviews.
2025-08-14 01:39:03 | Process-4 | INFO | App 1932750: collected 0 reviews.
2025-08-14 01:39:03 | Process-4 | INFO | App 1932670: collected 12 reviews.
2025-08-14 01:39:03 | Process-4 | INFO | App 1932680: collected 100 reviews.
2025-08-14 01:39:03 | Process-4 | INFO | App 1932740: collected 11 reviews.
2025-08-14 01:39:03 | Process-4 | INFO | App 1932760: collected 0 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932690: collected 28 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932790: collected 0 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932810: collected 0 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932820: collected 0 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932730: collected 7 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932700: collected 37 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932743: collected 26 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932830: collected 0 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932742: collected 40 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932880: collected 0 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932930: collected 0 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932940: collected 0 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1932970: collected 0 reviews.
2025-08-14 01:39:04 | Process-4 | INFO | App 1933000: collected 0 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1933010: collected 0 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1933040: collected 0 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1932741: collected 100 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1932890: collected 11 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1932860: collected 3 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1932960: collected 5 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1932950: collected 7 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1932980: collected 0 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1933030: collected 31 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1933020: collected 12 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1933100: collected 0 reviews.
2025-08-14 01:39:05 | Process-4 | INFO | App 1933120: collected 0 reviews.
2025-08-14 01:39:06 | Process-4 | INFO | App 1933090: collected 2 reviews.
2025-08-14 01:39:06 | Process-4 | INFO | App 1933060: collected 6 reviews.
2025-08-14 01:39:06 | Process-4 | INFO | App 1933140: collected 6 reviews.
2025-08-14 01:39:06 | Process-4 | INFO | App 1933070: collected 24 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933150: collected 2 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933200: collected 0 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933241: collected 0 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933050: collected 100 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933160: collected 2 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933170: collected 9 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933243: collected 0 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933190: collected 65 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933240: collected 28 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933270: collected 0 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933245: collected 0 reviews.
2025-08-14 01:39:07 | Process-4 | INFO | App 1933180: collected 67 reviews.
2025-08-14 01:39:08 | Process-4 | INFO | App 1933230: collected 1 reviews.
2025-08-14 01:39:08 | Process-4 | INFO | App 1933260: collected 0 reviews.
2025-08-14 01:39:08 | Process-4 | INFO | App 1933350: collected 0 reviews.
2025-08-14 01:39:08 | Process-4 | INFO | App 1933310: collected 0 reviews.
2025-08-14 01:39:08 | Process-4 | INFO | App 1933242: collected 5 reviews.
2025-08-14 01:39:08 | Process-4 | INFO | App 1933360: collected 0 reviews.
2025-08-14 01:39:08 | Process-4 | INFO | App 1933250: collected 1 reviews.
2025-08-14 01:39:08 | Process-4 | INFO | App 1933244: collected 15 reviews.
2025-08-14 01:39:08 | Process-4 | INFO | App 1933290: collected 2 reviews.
2025-08-14 01:39:09 | Process-4 | INFO | App 1933420: collected 0 reviews.
2025-08-14 01:39:09 | Process-4 | INFO | App 1933400: collected 0 reviews.
2025-08-14 01:39:09 | Process-4 | INFO | App 1933460: collected 0 reviews.
2025-08-14 01:39:09 | Process-4 | INFO | App 1933320: collected 100 reviews.
2025-08-14 01:39:09 | Process-4 | INFO | App 1933330: collected 1 reviews.
2025-08-14 01:39:09 | Process-4 | INFO | App 1933380: collected 8 reviews.
2025-08-14 01:39:10 | Process-4 | INFO | App 1933570: collected 0 reviews.
2025-08-14 01:39:10 | Process-4 | INFO | App 1933580: collected 2 reviews.
2025-08-14 01:39:10 | Process-4 | INFO | App 1933390: collected 100 reviews.
2025-08-14 01:39:10 | Process-4 | INFO | App 1933450: collected 100 reviews.
2025-08-14 01:39:10 | Process-4 | INFO | App 1933370: collected 100 reviews.
2025-08-14 01:39:10 | Process-4 | INFO | App 1933520: collected 0 reviews.
2025-08-14 01:39:10 | Process-4 | INFO | App 1933490: collected 66 reviews.
2025-08-14 01:39:11 | Process-4 | INFO | App 1933730: collected 0 reviews.
2025-08-14 01:39:11 | Process-4 | INFO | App 1933640: collected 100 reviews.
2025-08-14 01:39:11 | Process-4 | INFO | App 1933700: collected 100 reviews.
2025-08-14 01:39:11 | Process-4 | INFO | App 1933720: collected 4 reviews.
2025-08-14 01:39:11 | Process-4 | INFO | App 1933750: collected 0 reviews.
2025-08-14 01:39:11 | Process-4 | INFO | App 1933680: collected 61 reviews.
2025-08-14 01:39:12 | Process-4 | INFO | App 1933710: collected 3 reviews.
2025-08-14 01:39:12 | Process-4 | INFO | App 1933790: collected 0 reviews.
2025-08-14 01:39:12 | Process-4 | INFO | App 1933660: collected 100 reviews.
